FiscalYear,TotalGrants,TotalFunding
2008,350,154251155
2009,458,193988701
2010,491,198251505
2011,431,182822830
2012,432,199735591
2013,357,156910186
2014,356,165402576
2015,354,151501458
2016,402,172766065
2017,447,224694946
