FiscalYear,TotalGrants,TotalFunding
2008,38,19110485
2009,57,26173736
2010,61,27821608
2011,59,27869996
2012,61,36417059
2013,54,33987778
2014,56,33760816
2015,54,22678283
2016,44,16398725
2017,35,16598736
