FiscalYear,TotalGrants,TotalFunding
2008,673,203075331
2009,830,279431879
2010,796,254365022
2011,540,220770313
2012,538,223379949
2013,474,224484330
2014,467,233745219
2015,488,257246651
2016,518,262596901
2017,523,284477880
