FiscalYear,TotalGrants,TotalFunding
2008,44,12173273
2009,77,28384752
2010,86,80494437
2011,75,32908353
2012,77,27331076
2013,71,44980907
2014,71,33328307
2015,75,32203451
2016,73,44212208
2017,80,44617494
