FiscalYear,TotalGrants,TotalFunding
2008,1876,609279464
2009,2238,763313812
2010,2195,795663894
2011,1881,715881455
2012,1838,739788345
2013,1729,667064532
2014,1747,696189494
2015,1785,674712032
2016,1809,758694095
2017,1879,813157552
