FiscalYear,TotalGrants,TotalFunding
2008,113,24752787
2009,141,35618823
2010,135,42193072
2011,101,37923743
2012,114,45649012
2013,91,34218530
2014,88,30559417
2015,101,32841800
2016,111,38376312
2017,131,45283097
