FiscalYear,TotalGrants,TotalFunding
2008,5,1225872
2009,9,3132334
2010,10,3577509
2011,10,3866885
2012,9,3389244
2013,5,1829595
2014,5,2651150
2015,9,3963699
2016,9,6694373
2017,9,5690916
