FiscalYear,TotalGrants,TotalFunding
2008,16,4747143
2009,29,7365777
2010,24,8979209
2011,28,11926072
2012,28,20301480
2013,19,15047022
2014,18,14596731
2015,14,8341390
2016,12,5948521
2017,13,8803608
