FiscalYear,TotalGrants,TotalFunding
2008,3,1997322
2009,7,4531859
2010,4,2034762
2011,7,5007527
2012,5,3546972
2013,3,1700490
2014,2,3523045
2015,2,985127
2016,3,3154895
2017,4,4207558
