FiscalYear,TotalGrants,TotalFunding
2008,1,127413
2009,1,129933
2010,1,1000000
2011,3,1182229
2012,4,1479046
2013,3,1924584
2014,1,400000
2015,1,400000
2016,0,0
2017,0,0
