FiscalYear,TotalGrants,TotalFunding
2008,1,1042
2009,2,220763
2010,2,453823
2011,2,449112
2012,1,307940
2013,2,395484
2014,1,140053
2015,1,194666
2016,1,271979
2017,3,642349
