FiscalYear,TotalGrants,TotalFunding
2008,29,8981167
2009,37,18166210
2010,43,17803524
2011,43,22252872
2012,42,19863366
2013,40,15093470
2014,36,11861406
2015,32,12632927
2016,37,15467950
2017,35,15534552
