FiscalYear,TotalGrants,TotalFunding
2008,763,248932214
2009,988,334546042
2010,1065,396853806
2011,953,353543800
2012,931,343175738
2013,800,316129219
2014,846,323369460
2015,898,328286318
2016,966,401063637
2017,1026,430024337
