FiscalYear,TotalGrants,TotalFunding
2008,160,78371717
2009,210,94266711
2010,216,92606567
2011,210,85394512
2012,214,101593768
2013,182,94098788
2014,173,113231825
2015,188,104466326
2016,191,96678450
2017,221,106242412
