FiscalYear,TotalGrants,TotalFunding
2008,8,1652527
2009,10,2628568
2010,10,6277837
2011,10,4548241
2012,10,9188714
2013,9,9143354
2014,5,8183457
2015,7,2182124
2016,8,1884988
2017,9,2249265
