FiscalYear,TotalGrants,TotalFunding
2008,11,2811088
2009,11,2834155
2010,15,4972061
2011,12,4614222
2012,10,2970535
2013,7,1890236
2014,5,1321707
2015,4,1433152
2016,9,4450826
2017,10,5109515
