FiscalYear,TotalGrants,TotalFunding
2008,33,12694445
2009,38,12408116
2010,34,12365175
2011,31,13567752
2012,24,12155191
2013,27,16783698
2014,28,10836521
2015,27,10005287
2016,36,15463753
2017,39,18152315
