FiscalYear,TotalGrants,TotalFunding
2008,100,43291410
2009,121,56963365
2010,139,64483754
2011,128,53786551
2012,142,64712088
2013,116,50865952
2014,99,41684188
2015,103,39611110
2016,117,53270898
2017,128,82123384
