FiscalYear,TotalGrants,TotalFunding
2008,204,86046015
2009,262,111946458
2010,272,115687988
2011,240,95543731
2012,249,112038032
2013,234,116616867
2014,268,132890603
2015,267,127061676
2016,290,129888719
2017,313,162629895
