FiscalYear,TotalGrants,TotalFunding
2008,11,3031322
2009,23,9080687
2010,24,10407234
2011,24,10812910
2012,21,9883465
2013,22,14717937
2014,16,7687148
2015,16,7227778
2016,10,4832887
2017,17,9518972
