FiscalYear,TotalGrants,TotalFunding
2008,1,73000
2009,2,104851
2010,2,592507
2011,2,893774
2012,2,846717
2013,3,1458082
2014,3,1170379
2015,1,659101
2016,2,1095541
2017,3,3606188
