FiscalYear,TotalGrants,TotalFunding
2008,126,34000527
2009,180,52851408
2010,199,67489111
2011,171,53946082
2012,175,59284520
2013,145,47844561
2014,131,45136975
2015,133,45986028
2016,142,53230024
2017,147,62816001
