FiscalYear,TotalGrants,TotalFunding
2008,17,6995770
2009,18,5991810
2010,22,7644693
2011,19,7236046
2012,20,5725709
2013,12,2924781
2014,10,3298759
2015,8,2340613
2016,3,920736
2017,7,3260364
