FiscalYear,TotalGrants,TotalFunding
2008,42,14138094
2009,63,20252395
2010,65,22031826
2011,54,19462782
2012,53,20702201
2013,41,14476243
2014,33,10902488
2015,33,12144130
2016,33,14436980
2017,37,16334190
