FiscalYear,TotalGrants,TotalFunding
2008,41,9722867
2009,39,11645094
2010,37,13670532
2011,28,11753033
2012,32,18608894
2013,27,13551404
2014,34,16732150
2015,27,10299315
2016,31,12241403
2017,33,28078439
