FiscalYear,TotalGrants,TotalFunding
2008,169,48107535
2009,206,59405084
2010,246,76673306
2011,216,69681227
2012,200,67455485
2013,160,56808612
2014,161,53175506
2015,147,44731790
2016,157,43138524
2017,164,54773443
