FiscalYear,TotalGrants,TotalFunding
2008,48,11324689
2009,63,17576107
2010,66,21602871
2011,42,12470907
2012,44,18071566
2013,33,12720503
2014,36,10795218
2015,47,14414018
2016,43,12881014
2017,47,19761541
