FiscalYear,TotalGrants,TotalFunding
2008,80,27779066
2009,96,37694519
2010,107,54143578
2011,89,41222083
2012,84,40631583
2013,74,36308725
2014,56,27168817
2015,52,25667289
2016,48,24433261
2017,55,33308553
