FiscalYear,TotalGrants,TotalFunding
2008,18,12221131
2009,22,16635694
2010,16,8490475
2011,18,8814014
2012,15,11412488
2013,9,17939167
2014,8,10123400
2015,10,5401499
2016,10,10086121
2017,12,7543518
