FiscalYear,TotalGrants,TotalFunding
2008,138,62595483
2009,139,59226332
2010,132,67222719
2011,109,56829391
2012,102,47893210
2013,108,57236970
2014,98,45195437
2015,100,46541170
2016,104,48432452
2017,102,44604251
