FiscalYear,TotalGrants,TotalFunding
2008,1,361061
2009,3,661918
2010,4,765349
2011,3,491223
2012,6,6155250
2013,6,7576462
2014,5,8123616
2015,3,2106556
2016,4,2555247
2017,5,3212980
