FiscalYear,TotalGrants,TotalFunding
2008,267,102024444
2009,334,123900145
2010,343,134075645
2011,304,119118268
2012,263,98132913
2013,229,88532574
2014,208,86633043
2015,201,82257671
2016,209,85587061
2017,226,92312776
