FiscalYear,TotalGrants,TotalFunding
2008,51,15187355
2009,53,16586371
2010,48,13369153
2011,53,14281068
2012,57,20517331
2013,41,16229163
2014,46,17548222
2015,59,22292299
2016,46,17819721
2017,54,19883766
