FiscalYear,TotalGrants,TotalFunding
2008,283,114503785
2009,341,133846774
2010,344,138127171
2011,303,133972313
2012,291,119561942
2013,231,97569809
2014,205,96238000
2015,227,98156140
2016,253,119161014
2017,279,129473526
