FiscalYear,TotalGrants,TotalFunding
2008,166,49925208
2009,168,47229549
2010,183,50168364
2011,108,41023039
2012,101,45564072
2013,95,35164973
2014,108,53315023
2015,105,70641995
2016,108,45595087
2017,101,44353607
