FiscalYear,TotalGrants,TotalFunding
2008,107,51995326
2009,150,318432988
2010,146,63499504
2011,181,61782986
2012,129,61214064
2013,116,58042077
2014,102,48180788
2015,97,67098572
2016,104,63089350
2017,91,54869411
