FiscalYear,TotalGrants,TotalFunding
2008,743,349202333
2009,892,471762792
2010,903,465734231
2011,806,435617043
2012,824,448052931
2013,753,422032929
2014,729,405169068
2015,756,417092025
2016,789,456116819
2017,822,453324524
