FiscalYear,TotalGrants,TotalFunding
2008,163,52931908
2009,198,66185259
2010,212,79299004
2011,167,67689097
2012,153,65975461
2013,123,62206546
2014,120,60926876
2015,119,48938555
2016,131,61500442
2017,135,56243736
