FiscalYear,TotalGrants,TotalFunding
2008,6,1561247
2009,4,3515796
2010,9,4310180
2011,4,2427882
2012,3,4376690
2013,2,3597131
2014,1,3964643
2015,1,2988090
2016,1,2752232
2017,2,3802392
