FiscalYear,TotalGrants,TotalFunding
2008,2095,851676900
2009,2619,1092744739
2010,2610,1196525396
2011,2363,998938491
2012,2247,983867372
2013,2090,913988810
2014,2069,952248619
2015,2076,933896073
2016,2094,976162541
2017,2178,1021430606
