FiscalYear,TotalGrants,TotalFunding
2008,46,22108945
2009,49,23362325
2010,46,24267976
2011,48,20040658
2012,42,15976140
2013,38,16848300
2014,36,24594854
2015,37,21810461
2016,39,18213234
2017,52,24789824
