FiscalYear,TotalGrants,TotalFunding
2008,9,3416493
2009,8,3334304
2010,5,1986562
2011,8,3728743
2012,9,4714975
2013,10,4421167
2014,12,5302245
2015,9,5474221
2016,11,6446249
2017,14,4922679
