FiscalYear,TotalGrants,TotalFunding
2008,2,1384385
2009,4,1738223
2010,4,1851823
2011,3,1648233
2012,3,1730938
2013,2,662801
2014,1,361626
2015,0,0
2016,0,0
2017,0,0
