FiscalYear,TotalGrants,TotalFunding
2008,4,1982392
2009,9,3922337
2010,6,2443850
2011,8,4600406
2012,6,2174184
2013,6,1656631
2014,5,1368350
2015,3,770938
2016,3,543921
2017,3,759129
