FiscalYear,TotalGrants,TotalFunding
2008,5,1467076
2009,10,3369156
2010,10,3702950
2011,9,3114630
2012,15,11820786
2013,17,15969596
2014,12,9922441
2015,10,3890442
2016,15,12265098
2017,13,13640386
