FiscalYear,TotalGrants,TotalFunding
2008,3,1082699
2009,5,2596987
2010,3,1797621
2011,2,920865
2012,3,1683883
2013,3,1224650
2014,4,7465821
2015,5,1982038
2016,3,1364333
2017,4,1818379
