FiscalYear,TotalGrants,TotalFunding
2008,26,9532623
2009,27,10116762
2010,23,8542904
2011,22,8164299
2012,20,6699442
2013,11,3436552
2014,16,6155509
2015,25,14611780
2016,24,16794752
2017,23,13742024
