FiscalYear,TotalGrants,TotalFunding
2008,13,5328230
2009,32,12097377
2010,41,15142060
2011,37,14501354
2012,39,14373816
2013,29,9259701
2014,22,11430695
2015,27,11819634
2016,20,7962240
2017,22,9891270
