FiscalYear,TotalGrants,TotalFunding
2008,2487,1084278041
2009,3212,1369960712
2010,3220,1569873535
2011,2931,1294955353
2012,2649,1221004302
2013,2312,1095943526
2014,2155,1085524567
2015,2130,1121599421
2016,2219,1192799162
2017,2317,1159384887
