FiscalYear,TotalGrants,TotalFunding
2008,7,5338088
2009,11,7250948
2010,9,4466633
2011,4,3002424
2012,5,3161796
2013,3,2154446
2014,3,879141
2015,3,887480
2016,2,730938
2017,3,1770542
