FiscalYear,TotalGrants,TotalFunding
2008,318,149598833
2009,404,177648929
2010,387,185502569
2011,378,160411646
2012,372,181289263
2013,360,170297311
2014,318,154302206
2015,327,170725448
2016,324,165169876
2017,330,160824324
