FiscalYear,TotalGrants,TotalFunding
2008,17,4199534
2009,24,7039932
2010,23,7882403
2011,25,8075161
2012,20,5363620
2013,19,4190343
2014,17,5362478
2015,15,3640825
2016,16,6526025
2017,22,9465346
