FiscalYear,TotalGrants,TotalFunding
2008,2,752730
2009,4,918665
2010,9,4072141
2011,5,1735211
2012,7,2040265
2013,6,1254386
2014,2,930236
2015,3,1547211
2016,4,2132959
2017,3,1673623
