FiscalYear,TotalGrants,TotalFunding
2009,4,1522722
2010,6,1202155
2011,4,1230166
2012,3,642020
2013,2,511405
2014,2,1326829
2015,2,1285580
2016,2,1297578
2017,2,1228211
