FiscalYear,TotalGrants,TotalFunding
2008,777,248298726
2009,1030,338684971
2010,1062,367940940
2011,1013,357231813
2012,938,331220357
2013,798,291114309
2014,748,283360593
2015,737,274907128
2016,749,286546180
2017,764,303111801
