FiscalYear,TotalGrants,TotalFunding
2008,1061,385865339
2009,1266,510550185
2010,1337,554599768
2011,1219,484084000
2012,1245,488160367
2013,1124,455492967
2014,1085,446089287
2015,1057,437285856
2016,1130,495584268
2017,1211,535630580
