FiscalYear,TotalGrants,TotalFunding
2008,513,225718659
2009,703,354514188
2010,749,393792918
2011,703,333329641
2012,640,311505290
2013,598,296200996
2014,562,275721740
2015,608,309989515
2016,670,346826130
2017,699,345736458
