FiscalYear,TotalGrants,TotalFunding
2008,141,55068293
2009,205,75239245
2010,216,88733627
2011,206,77498623
2012,184,77214825
2013,131,65192744
2014,115,57782008
2015,112,47422126
2016,130,55092124
2017,153,68251965
