FiscalYear,TotalGrants,TotalFunding
2008,205,82780061
2009,232,93354740
2010,225,90418732
2011,200,87892007
2012,171,79053641
2013,174,70223375
2014,155,64811060
2015,157,62679988
2016,177,78696663
2017,175,76616885
