FiscalYear,TotalGrants,TotalFunding
2008,1875,723840857
2009,2416,1024211420
2010,2543,1109115170
2011,2343,1010792370
2012,2262,1039294452
2013,2144,970192029
2014,2188,1008849186
2015,2428,1078011530
2016,2622,1206006186
2017,2817,1296264818
