FiscalYear,TotalGrants,TotalFunding
2008,248,81339819
2009,300,93457099
2010,316,118323133
2011,290,108105060
2012,300,100668385
2013,248,93280710
2014,235,97530211
2015,244,80214035
2016,282,96445333
2017,300,125697340
