FiscalYear,TotalGrants,TotalFunding
2008,4,494373
2009,7,1500484
2010,3,868254
2011,3,393959
2012,2,775879
2013,1,412163
2014,5,2542514
2015,8,2511493
2016,9,5393678
2017,9,7962477
