FiscalYear,TotalGrants,TotalFunding
2008,13,6693375
2009,16,6587671
2010,14,6196742
2011,14,5985198
2012,15,5131310
2013,8,2681074
2014,12,4541958
2015,17,11735817
2016,14,13257605
2017,13,8959786
