FiscalYear,TotalGrants,TotalFunding
2008,927,329849529
2009,1205,419315844
2010,1244,431073580
2011,1117,394200240
2012,1101,388499525
2013,955,332010306
2014,876,337016652
2015,872,331011074
2016,897,378672443
2017,980,435656860
